         1           5           4
         1           2           5
         2           6           5
         2           3           6
         4           8           7
         4           5           8
         5           9           8
         5           6           9
        10           1          25
        10          11           1
        11           2           1
        11          12           2
        12           3           2
        12          13           3
        13          15           3
        13          14          15
         3          16           6
         3          15          16
         6          17           9
         6          16          17
         9          18          19
         9          17          18
         8          19          20
         8           9          19
         7          20          21
         7           8          20
        23          21          22
        23           7          21
        24           7          23
        24           4           7
        25           4          24
        25           1           4
